ClientId,Requestid,Name,Quantity,Price
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,1,Bułka,1,10.0
1,1,Chleb,2,15.0
1,1,Bułka,1,10.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
1,2,Chleb,2,15.0
